Name,Location,Industry
Reliance Industries,Mumbai,Conglomerate
Akshaya Patra Foundation,Bangalore,Non-Profit
Tata Consultancy Services,Mumbai,IT Services
Smile Foundation,New Delhi,Non-Profit
HDFC Bank,Mumbai,Banking
Goonj,New Delhi,Non-Profit
Infosys,Bangalore,IT Services
Bharti Airtel,New Delhi,Telecommunications
Pratham Education Foundation,Mumbai,Non-Profit
Hindustan Unilever,Mumbai,Consumer Goods
GiveIndia,Mumbai,Non-Profit
State Bank of India,Mumbai,Banking
HelpAge India,New Delhi,Non-Profit
ITC Limited,Kolkata,Consumer Goods
Teach For India,Mumbai,Non-Profit
Larsen & Toubro,Mumbai,Construction
Khaana Chahiye,Mumbai,Non-Profit
Axis Bank,Mumbai,Banking
SNEHA,Mumbai,Non-Profit
Maruti Suzuki,New Delhi,Automotive
CRY (Child Rights and You),New Delhi,Non-Profit
Sun Pharmaceutical,Mumbai,Pharmaceuticals
Care India,New Delhi,Non-Profit
Titan Company,Bangalore,Luxury Goods
Goonj,New Delhi,Non-Profit
Tata Motors,Mumbai,Automotive
Akshaya Patra Foundation,Bangalore,
Infosys,Bangalore,IT Services
Smile Foundation,,Non-Profit
Wipro,Bangalore,IT Services
